time,motor1,motor2,motor3
12762ò6,0,0,0
12,0,0,0
18,0,0,0
24,0,0,0
30,1,1,1
36,4,4,4
43,7,7,7
49,10,10,10
55,13,13,13
61,16,16,16
67,19,19,19
73,22,22,22
79,25,25,25
86,27,27,27
92,30,30,30
98,33,33,33
104,36,36,36
110,39,39,39
116,42,42,42
122,45,45,45
128,48,48,48
134,50,50,50
140,53,53,53
146,56,56,56
152,59,59,59
160,63,63,63
166,66,66,66
172,68,68,68
178,71,71,71
184,74,74,74
190,77,77,77
196,80,80,80
202,83,83,83
208,86,86,86
214,88,88,88
220,91,91,91
226,94,94,94
232,97,97,97
239,101,101,101
245,103,103,103
251,106,106,106
257,109,109,109
263,112,112,112
269,115,115,115
275,118,118,118
281,121,121,121
287,124,124,124
293,127,127,127
299,129,129,129
305,132,132,132
311,135,135,135
317,138,138,138
323,141,141,141
329,144,144,144
335,147,147,147
342,150,150,150
348,153,153,153
354,156,156,156
360,159,159,159
367,162,162,162
373,165,165,165
379,168,168,168
385,170,170,170
391,173,173,173
397,176,176,176
403,179,179,179
409,182,182,182
415,185,185,185
421,188,188,188
427,190,190,190
433,193,193,193
439,196,196,196
447,200,200,200
453,202,202,202
459,205,205,205
465,208,208,208
471,211,211,211
477,214,214,214
483,217,217,217
489,220,220,220
495,222,222,222
501,225,225,225
507,228,228,228
513,230,230,230
519,233,233,233
527,237,237,237
533,239,239,239
539,242,242,242
545,245,245,245
551,248,248,248
557,251,251,251
563,254,254,254
569,257,257,257
575,259,259,259
581,262,262,262
587,265,265,265
593,268,268,268
599,270,270,270
607,274,274,274
613,277,277,277
619,280,280,280
625,283,283,283
631,286,286,286
637,289,289,289
643,291,291,291
649,294,294,294
655,297,297,297
661,300,300,300
667,303,303,303
673,306,306,306
679,309,309,309
687,312,312,312
693,315,315,315
699,318,318,318
705,321,321,321
711,324,324,324
717,327,327,327
723,330,330,330
729,331,331,331
735,331,331,331
741,331,331,331
747,331,331,331
753,331,331,331
759,331,331,331
765,331,331,331
771,331,331,331
777,331,331,331
783,331,331,331
789,331,331,331
795,331,331,331
801,331,331,331
807,331,331,331
814,331,331,331
820,331,331,331
826,331,331,331
832,331,331,331
838,331,331,331
846,331,331,331
852,331,331,331
858,331,331,331
864,331,331,331
870,331,331,331
876,331,331,331
882,331,331,331
888,331,331,331
894,331,331,331
900,331,331,331
906,331,331,331
912,331,331,331
918,331,331,331
924,331,331,331
930,331,331,331
936,331,331,331
942,331,331,331
948,331,331,331
954,331,331,331
960,331,331,331
966,331,331,331
973,331,331,331
979,331,331,331
985,331,331,331
991,331,331,331
997,331,331,331
1003,331,331,331
1009,331,331,331
1015,331,331,331
1021,331,331,331
1027,331,331,331
1033,331,331,331
